service_id,date,exception_type
51,20160427,2
51,20160428,2
51,20160429,2
51,20160430,2
51,20160501,2
51,20160502,2
51,20160503,1
51,20160504,2
51,20160505,2
51,20160506,2
51,20160507,2
51,20160508,2
51,20160509,2
51,20160510,1
51,20160511,2
51,20160512,2
51,20160513,2
51,20160514,2
51,20160515,2
51,20160516,2
51,20160517,2
51,20160518,2
51,20160519,2
51,20160520,2
51,20160521,2
51,20160522,2
51,20160523,2
51,20160524,1
51,20160525,2
51,20160526,2
51,20160527,2
51,20160528,2
51,20160529,2
51,20160530,2
51,20160531,1
51,20160601,2
51,20160602,2
51,20160603,2
51,20160604,2
51,20160605,2
51,20160606,2
51,20160607,1
51,20160608,2
51,20160609,2
51,20160610,2
51,20160611,2
51,20160612,2
51,20160613,2
51,20160614,1
51,20160615,2
51,20160616,2
51,20160617,2
51,20160618,2
51,20160619,2
51,20160620,2
51,20160621,1
51,20160622,2
51,20160623,2
51,20160624,2
52,20160329,1
52,20160330,2
52,20160331,2
52,20160401,1
52,20160402,2
52,20160403,2
52,20160404,1
52,20160405,1
52,20160406,2
52,20160407,2
52,20160408,1
52,20160409,2
52,20160410,2
52,20160411,1
52,20160412,1
52,20160413,2
52,20160414,2
52,20160415,1
52,20160416,2
52,20160417,2
52,20160418,1
52,20160419,1
52,20160420,2
52,20160421,2
52,20160422,1
52,20160423,2
52,20160424,2
52,20160425,1
52,20160426,1
52,20160427,2
52,20160428,2
52,20160429,1
52,20160430,2
52,20160501,2
52,20160502,1
52,20160503,1
52,20160504,2
52,20160505,2
52,20160506,1
52,20160507,2
52,20160508,2
52,20160509,1
52,20160510,1
52,20160511,2
52,20160512,2
52,20160513,1
52,20160514,2
52,20160515,2
52,20160516,2
52,20160517,2
52,20160518,2
52,20160519,2
52,20160520,1
52,20160521,2
52,20160522,2
52,20160523,1
52,20160524,1
52,20160525,2
52,20160526,2
52,20160527,1
52,20160528,2
52,20160529,2
52,20160530,1
52,20160531,1
52,20160601,2
52,20160602,2
52,20160603,1
52,20160604,2
52,20160605,2
52,20160606,1
52,20160607,1
52,20160608,2
52,20160609,2
52,20160610,1
52,20160611,2
52,20160612,2
52,20160613,1
52,20160614,1
52,20160615,2
52,20160616,2
52,20160617,1
52,20160618,2
52,20160619,2
52,20160620,1
52,20160621,1
52,20160622,2
52,20160623,2
52,20160624,1
53,20160329,1
53,20160330,2
53,20160331,2
53,20160401,2
53,20160402,2
53,20160403,2
53,20160404,2
53,20160405,1
53,20160406,2
53,20160407,2
53,20160408,2
53,20160409,2
53,20160410,2
53,20160411,2
53,20160412,1
53,20160413,2
53,20160414,2
53,20160415,2
53,20160416,2
53,20160417,2
53,20160418,2
53,20160419,1
53,20160420,2
53,20160421,2
53,20160422,2
53,20160423,2
53,20160424,2
53,20160425,2
53,20160426,1
53,20160427,2
53,20160428,2
53,20160429,2
53,20160430,2
53,20160501,2
53,20160502,2
53,20160503,1
53,20160504,2
53,20160505,2
53,20160506,2
53,20160507,2
53,20160508,2
53,20160509,2
53,20160510,1
53,20160511,2
53,20160512,2
53,20160513,2
53,20160514,2
53,20160515,2
53,20160516,2
53,20160517,2
53,20160518,2
53,20160519,2
53,20160520,2
53,20160521,2
53,20160522,2
53,20160523,2
53,20160524,1
53,20160525,2
53,20160526,2
53,20160527,2
53,20160528,2
53,20160529,2
53,20160530,2
53,20160531,1
53,20160601,2
53,20160602,2
53,20160603,2
53,20160604,2
53,20160605,2
53,20160606,2
53,20160607,1
53,20160608,2
53,20160609,2
53,20160610,2
53,20160611,2
53,20160612,2
53,20160613,2
53,20160614,1
53,20160615,2
53,20160616,2
53,20160617,2
53,20160618,2
53,20160619,2
53,20160620,2
53,20160621,1
53,20160622,2
53,20160623,2
53,20160624,2
54,20160329,1
54,20160330,1
54,20160331,1
54,20160401,1
54,20160402,2
54,20160403,2
54,20160404,1
54,20160405,1
54,20160406,1
54,20160407,1
54,20160408,1
54,20160409,2
54,20160410,2
54,20160411,1
54,20160412,1
54,20160413,1
54,20160414,1
54,20160415,1
54,20160416,2
54,20160417,2
54,20160418,1
54,20160419,1
54,20160420,1
54,20160421,1
54,20160422,1
54,20160423,2
54,20160424,2
54,20160425,1
54,20160426,1
54,20160427,1
54,20160428,1
54,20160429,1
54,20160430,2
54,20160501,2
54,20160502,1
54,20160503,1
54,20160504,1
54,20160505,2
54,20160506,1
54,20160507,2
54,20160508,2
54,20160509,1
54,20160510,1
54,20160511,1
54,20160512,1
54,20160513,1
54,20160514,2
54,20160515,2
54,20160516,2
54,20160517,2
54,20160518,1
54,20160519,1
54,20160520,1
54,20160521,2
54,20160522,2
54,20160523,1
54,20160524,1
54,20160525,1
54,20160526,1
54,20160527,1
54,20160528,2
54,20160529,2
54,20160530,1
54,20160531,1
54,20160601,1
54,20160602,1
54,20160603,1
54,20160604,2
54,20160605,2
54,20160606,1
54,20160607,1
54,20160608,1
54,20160609,1
54,20160610,1
54,20160611,2
54,20160612,2
54,20160613,1
54,20160614,1
54,20160615,1
54,20160616,1
54,20160617,1
54,20160618,2
54,20160619,2
54,20160620,1
54,20160621,1
54,20160622,1
54,20160623,1
54,20160624,1
55,20160329,2
55,20160330,1
55,20160331,2
55,20160401,2
55,20160402,2
55,20160403,2
55,20160404,1
55,20160405,2
55,20160406,1
55,20160407,2
55,20160408,2
55,20160409,2
55,20160410,2
55,20160411,1
55,20160412,2
55,20160413,1
55,20160414,2
55,20160415,2
55,20160416,2
55,20160417,2
55,20160418,1
55,20160419,2
55,20160420,1
55,20160421,2
55,20160422,2
55,20160423,2
55,20160424,2
55,20160425,1
55,20160426,2
55,20160427,1
55,20160428,2
55,20160429,2
55,20160430,2
55,20160501,2
55,20160502,1
55,20160503,2
55,20160504,1
55,20160505,2
55,20160506,2
55,20160507,2
55,20160508,2
55,20160509,1
55,20160510,2
55,20160511,1
55,20160512,2
55,20160513,2
55,20160514,2
55,20160515,2
55,20160516,2
55,20160517,2
55,20160518,1
55,20160519,2
55,20160520,2
55,20160521,2
55,20160522,2
55,20160523,1
55,20160524,2
55,20160525,1
55,20160526,2
55,20160527,2
55,20160528,2
55,20160529,2
55,20160530,1
55,20160531,2
55,20160601,1
55,20160602,2
55,20160603,2
55,20160604,2
55,20160605,2
55,20160606,1
55,20160607,2
55,20160608,1
55,20160609,2
55,20160610,2
55,20160611,2
55,20160612,2
55,20160613,1
55,20160614,2
55,20160615,1
55,20160616,2
55,20160617,2
55,20160618,2
55,20160619,2
55,20160620,1
55,20160621,2
55,20160622,1
55,20160623,2
55,20160624,2
56,20160329,1
56,20160330,1
56,20160331,1
56,20160401,1
56,20160402,2
56,20160403,2
56,20160404,1
56,20160405,1
56,20160406,1
56,20160407,1
56,20160408,1
56,20160409,2
56,20160410,2
56,20160411,1
56,20160412,1
56,20160413,1
56,20160414,1
56,20160415,1
56,20160416,2
56,20160417,2
56,20160418,1
56,20160419,1
56,20160420,1
56,20160421,1
56,20160422,1
56,20160423,2
56,20160424,2
56,20160425,1
56,20160426,1
56,20160427,1
56,20160428,1
56,20160429,1
56,20160430,2
56,20160501,2
56,20160502,1
56,20160503,1
56,20160504,1
56,20160505,2
56,20160506,1
56,20160507,2
56,20160508,2
56,20160509,1
56,20160510,1
56,20160511,1
56,20160512,1
56,20160513,1
56,20160514,2
56,20160515,2
56,20160516,2
56,20160517,2
56,20160518,1
56,20160519,1
56,20160520,1
56,20160521,2
56,20160522,2
56,20160523,1
56,20160524,1
56,20160525,1
56,20160526,1
56,20160527,1
56,20160528,2
56,20160529,2
56,20160530,1
56,20160531,1
56,20160601,1
56,20160602,1
56,20160603,1
56,20160604,2
56,20160605,2
56,20160606,1
56,20160607,1
56,20160608,1
56,20160609,1
56,20160610,1
56,20160611,2
56,20160612,2
56,20160613,1
56,20160614,1
56,20160615,1
56,20160616,1
56,20160617,1
56,20160618,2
56,20160619,2
56,20160620,1
56,20160621,1
56,20160622,1
56,20160623,1
56,20160624,1
57,20160329,1
57,20160330,1
57,20160331,1
57,20160401,2
57,20160402,2
57,20160403,2
57,20160404,2
57,20160405,1
57,20160406,1
